분류코드,카테고리
407,출산/육아>소독/살균용품>젖병건조대
408,출산/육아>소독/살균용품>장난감소독기
410,생활/건강>화방용품>우드락/폼보드
411,생활/건강>자동차용품>배터리
412,생활/건강>자동차용품>시트커버
414,패션잡화>여성가방>숄더백
415,패션잡화>여성가방>토트백
416,패션잡화>여성가방>크로스백
417,패션잡화>여성가방>클러치백
418,패션잡화>여성가방>파우치
419,패션잡화>여성가방>백팩
420,패션잡화>여성가방>힙색
422,패션잡화>남성가방>숄더백
423,패션잡화>남성가방>토트백
424,패션잡화>남성가방>크로스백
425,패션잡화>남성가방>클러치백
426,패션잡화>남성가방>브리프케이스
427,패션잡화>남성가방>백팩
428,패션잡화>남성가방>힙색
430,패션잡화>여행용가방/소품>보스턴가방
431,패션잡화>여행용가방/소품>복대
432,패션잡화>여행용가방/소품>이민/유학용 가방
433,패션잡화>여행용가방/소품>슈트케이스
434,패션잡화>여행용가방/소품>여권지갑/케이스
435,패션잡화>여행용가방/소품>여행소품케이스
436,패션잡화>여행용가방/소품>네임태그
437,패션잡화>여행용가방/소품>잠금벨트/자물쇠
438,패션잡화>지갑>머니클립
439,패션잡화>지갑>카드/명함지갑
440,패션잡화>지갑>열쇠지갑
441,패션잡화>지갑>동전지갑
443,패션잡화>남성신발>웰트화
444,패션잡화>남성신발>실내화
446,패션잡화>신발용품>신발깔창
447,패션잡화>신발용품>신발끈
448,패션잡화>신발용품>보호쿠션/패드
449,패션잡화>신발용품>부츠키퍼
450,패션잡화>신발용품>구둣주걱
451,패션잡화>신발용품>기타신발용품
453,출산/육아>수유용품>유축기
454,출산/육아>수유용품>분유케이스
455,출산/육아>수유용품>보틀워머
456,출산/육아>수유용품>모유보관비닐팩
457,출산/육아>수유용품>수유쿠션/시트
458,출산/육아>수유용품>수유가리개
459,출산/육아>수유용품>수유패드
460,출산/육아>수유용품>유두케어/젖몸살용품
461,출산/육아>수유용품>기타수유용품
463,출산/육아>유모차>초경량/휴대용
464,출산/육아>유모차>절충형/디럭스형
466,출산/육아>외출용품>아기띠
467,출산/육아>외출용품>아기띠쿨러/패드
468,출산/육아>외출용품>아기띠침받이
469,출산/육아>외출용품>기저귀가방
470,출산/육아>외출용품>힙시트
471,출산/육아>외출용품>포대기/처네
472,출산/육아>외출용품>슬링
473,출산/육아>외출용품>망토/워머
474,출산/육아>외출용품>미아방지용품
475,출산/육아>외출용품>기타외출용품
477,출산/육아>목욕용품>유아욕조
478,출산/육아>목욕용품>유아목욕의자
